 三姐妹熱炒店  ,4,台灣餐廳,"星期一11:00–01:00
星期二11:00–01:00
星期三11:00–01:00
星期四11:00–01:00
星期五11:00–01:00
星期六11:00–01:00
星期日休息
"," ·  內用 
 ·  外帶 
 ·  外送 
",200基隆市仁愛區孝四路7號,02 2469 2834,121.7383562,25.1304404,"1,664 則評論"," 葉靜茹 
5
  把酒言歡的好地方 便宜又大碗 "," Khng lesu 
4
   "," Amelia 
5
   "," 愷祤 
2
  每隔幾年會來一次
每次來都給我驚喜 越變越差的這種
這次來新請的員工更爛了 … "," Chihming Kao 
3
  用餐環境不是非常理想
多半是在地人
有印象好吃的就屬炸鮮蚵和小卷酥 … "," jack chen 
4
  酒聚的店 不喝酒就甚麼都差了 "," Dave 
5
   "," Ken Yang 
5
   "," 陳瑞銘 
4
  東西便宜，飲酒小酌的好地方，但常需要等位。 "," 余沛然 
5
   ","https://lh5.googleusercontent.com/p/AF1QipO8ZUyIs1JmJ8_Mcfk_IsaBintxo2aqaakawWPA=w203-h114-k-no;
https://lh5.googleusercontent.com/p/AF1QipMSaCKxsST92ck6NBKAUO37i0F4IpyIhDW9Jkj8=w203-h114-k-no;
https://lh5.googleusercontent.com/p/AF1QipOjpTEwhiijQGZn7evDjMHJcHlvfCivsjrhPsoX=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipOlVXTsxSOr7ItoygEhpkqqT_u6N7tHfQMB1VXV=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipOHoS4WsKX2dnzKlWUJ6UnRSwwG9-IGoT1nU-I8=w203-h203-k-no;
","https://lh5.googleusercontent.com/p/AF1QipMmIEYYiBEMh6e-kaHj0rCpX7g4LLb7gyBOa27g=s508-k-no;
https://lh5.googleusercontent.com/p/AF1QipMDTWtZORe6GdmWjvNs3Y-20Wtdwpv6MdzMm0Bs=s508-k-no;
https://lh5.googleusercontent.com/p/AF1QipMmIEYYiBEMh6e-kaHj0rCpX7g4LLb7gyBOa27g=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipMDTWtZORe6GdmWjvNs3Y-20Wtdwpv6MdzMm0Bs=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipPLvzqJMsjkm-FqLXHWm6Zm3g7tpBXtfLg6z_uq=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipM3GhYXfCTyrmaINE0qD_9M5guTmmOqipaDyiOs=w203-h203-k-no;
","環境 35
物美 14
鰻魚飯 12
鵝肉 12
雞捲 11
軟絲 8
庶民 8
小卷 7
",
,,,,,,,,,,,,,,,,,,,,,,"菜 49
服務人員 9
停車 8
家庭 7
聚會 6
態度 6
過年 5
菲力 5
cp值 5
",
 御品鮮港式海鮮餐廳  ,3.8,海鮮餐廳,"星期一11:00–22:00
星期二11:00–22:00
星期三11:00–22:00
星期四11:00–22:00
星期五11:00–22:00
星期六11:00–22:00
星期日11:00–22:00
"," ·  內用 
 ·  外帶 
 ·  外送 
",200基隆市仁愛區仁一路217巷2號,02 2428 0033,121.7501449,25.1279793,646 則評論," 袁彬（袁彬） 
5
   "," 荳荳 
1
  (由 Google 提供翻譯) 很差

(原始評論)
很差 "," marie860303 
4
   "," 簡柑罵 
5
  那天跟老婆 兒子 丈母娘一同來用餐
店員依用餐人數推薦適合的餐點
菜色部分也一一明確介紹 很棒 "," 舒運珍 
5
  點的菜現點現炒很新鮮，也很好吃。 "," Grace Liu 
4
   "," Queena Lu 
1
  環境真的很遭，餐具也像是二手的，菜色比熱炒100還遭，真不想去 "," James Mao 
5
   "," 邱柏翰 
3
   "," 陳靜怡 
5
   ","https://lh5.googleusercontent.com/p/AF1QipPX4sdmznvUKKXMXuPtHZBEDnKVBuANXTNLUxm1=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNqvVTitItSR05NnxlUpCXZQCT0udzSW2TUG6qO=w203-h123-k-no;
https://lh5.googleusercontent.com/p/AF1QipP84HGNYlyIch-7Z_5fP15B6DecpHsXYgfN0nCo=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipOehJsaqEsmmaZwy4Hu5jQhK3qUYu9OZHFZEqIh=w203-h114-k-no;
https://lh5.googleusercontent.com/p/AF1QipN9saDF5sMe1F975uH7ngQS_AzvQ_LOEvtZPa4F=w203-h270-k-no;
","https://lh5.googleusercontent.com/p/AF1QipPtw5lHpVbLzvGto-mKShVz83v8CPoGCvjEZpXL=s635-k-no;
https://lh5.googleusercontent.com/p/AF1QipNBzoAF-lkqolJ51LwoCJ8sd1OlpV6fzsAJ91co=s508-k-no;
https://lh5.googleusercontent.com/p/AF1QipPtw5lHpVbLzvGto-mKShVz83v8CPoGCvjEZpXL=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipNBzoAF-lkqolJ51LwoCJ8sd1OlpV6fzsAJ91co=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipOm9kcDUDojcmnQ8-LYb3-3b7kUj9eyOwyAL1_n=w203-h286-k-no;
",,
,,,,,,,,,,,,,,,,,,,,,,"肉 21
料 17
價格 14
甜 11
湯 11
鮮 8
服務人員 6
衛生 5
豬 5
擔心 3
",
 上賀鍋物  ,4.2,火鍋餐廳,"星期一休息
星期二11:00–00:00
星期三11:00–00:00
星期四11:00–00:00
星期五11:00–00:00
星期六11:00–00:00
星期日11:00–00:00
"," ·  內用 
 ·  外帶 
 ·  外送 
",204基隆市安樂區安樂路二段153-1號2號樓號,02 2432 2788,121.7235985,25.1210137,300 則評論," william lee 
5
   "," YuHung D 
3
   "," 王玉美 
3
  培根豬肉好吃.環境乾淨.用餐舒適！ "," 彭英智 
4
  東西還行，有冰吃有加分 "," 吳義明 
4
  主菜優，配菜一般。 "," 黃麗姬 
4
   "," Alan張老師 
4
  座位空間大，食材新鮮 "," 葉臣偉 
5
  食材新鮮，湯頭很棒，肉品在基隆地區用料實在～大家有空來提驗就知道囉……當然高級食材這個地方也是很棒的…… "," Chainn Yang 
5
  最喜歡這裡的松阪豬:heart_suit::heart_suit::heart_suit:超級好吃 湯頭也很甜 "," 賴永勝 
5
  CP值高，老闆用心 ","https://lh5.googleusercontent.com/p/AF1QipOW3evBjUSc4iUZIjH37sIEugC-FuZnnsm18pHI=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNLU4QMreaf9LlBDp06qdhItgp8oaxYSZNk5YEq=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNLh8kBoSy9228JXPdm5Yjor_f6TaHdBoESEME=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipNijkcess7Ski_VkraUpLZ8Eoq-2QfDaCLptEAw=w203-h152-k-no;
//:0
","https://lh5.googleusercontent.com/p/AF1QipPLPk4MX8lmn1lc74_0KmnOc7DnD2PpEExHrkvF=s508-k-no;
https://lh5.googleusercontent.com/p/AF1QipNHMaFL48A6Up-A3Tckf6bjDTcC-FbEx1PiIayw=s508-k-no;
https://lh5.googleusercontent.com/p/AF1QipPLPk4MX8lmn1lc74_0KmnOc7DnD2PpEExHrkvF=w203-h286-k-no;
https://lh5.googleusercontent.com/p/AF1QipNHMaFL48A6Up-A3Tckf6bjDTcC-FbEx1PiIayw=w203-h270-k-no;
https://lh5.googleusercontent.com/p/AF1QipPjGJS4EvqJzEgqLGmaCEC2Ye5EKyRHT-gRaMOE=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNO_uqivDBTQKlpOmbuO-mmDChsHSZ4nzOnh33P=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipMDO9ohvaOjyyCdZcdBa7Sj8hNAeC6IaJiuBI7F=w203-h309-k-no;
",,
,,,,,,,,,,,,,,,,,,,,,,,
 亞都食品行  ,4,商店,"尚未提供時間
"," ·  店內購物 
",205基隆市暖暖區東勢街26巷107號,02 2458 2255,121.7381015,25.0964602,1 則評論," Jerry Chu 
4
   ","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PhdwfC_HyFHeQxaGl9vOkQ&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=240.1003&pitch=0&thumbfov=100;
無提供照片
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"香腸 37
墨魚 34
生魚片 17
鰻魚 15
炒 15
炸 14
紅糟 12
瓜子 10
店面 6
三鮮 5
",
 安一五郎海鮮店  ,4,海鮮餐廳,"星期一11:30–14:0017:00–22:00
星期二11:30–14:0017:00–22:00
星期三11:30–14:0017:00–22:00
星期四11:30–14:0017:00–22:00
星期五11:30–14:0017:00–22:00
星期六11:30–14:3017:00–22:00
星期日11:30–14:3017:00–22:00
"," ·  內用 
 ·  外帶 
 ·  外送 
",203基隆市中山區安一路46號,02 2422 7710,121.7365777,25.1315633,581 則評論," Phebe, Sin-May Dai 
5
  新鮮好吃，價廉物美 "," 綱 
5
   "," Bruce Yang 
4
   "," 鄔坤宏 
5
  好吃，墨魚香腸，軟殼蟹超好吃 "," vincent chou 
5
  一流的食材及口味，平價的收費，值得一去再去 "," 張美嫻 
4
   "," 柯坤雄 
3
   "," 王宥甯 
5
  廚師超會煮，老闆好客價錢又公道。大推墨魚香腸 "," Anthony Cheng 
5
  高手在民間! "," 陳建勳 
3
  海產新鮮 ","https://lh5.googleusercontent.com/p/AF1QipOKJb4znLn5IwEIYuPzz6OyO8gDPNysI7cvQzMX=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipPmBWU6njQb6-lIaJ0F3-ahcxw7DoKRm-c2iAJY=w203-h114-k-no;
https://lh5.googleusercontent.com/p/AF1QipPkVfkpX9GdNv5j0N-oZrUxfrr2JCq0kHad1IsZ=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipOvJCTOk6UtzSSyNIsihcZSDCIv3AuaMr_e_2vA=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipPpTPwpGqfvXAsydNFTxL7zROuojN_mWF-gQ6EF=w203-h152-k-no;
","https://lh5.googleusercontent.com/p/AF1QipNbmpzHXCc232323n9somxlL6bBGCnD0BpIvAxr=s644-k-no;
https://lh5.googleusercontent.com/p/AF1QipOFL2vLmQ5oKgJNpfcY2_APcAr1YZRNBrUGpVFO=s483-k-no;
https://lh5.googleusercontent.com/p/AF1QipNR5E50NuHSFOoYxe0y3wLGjosOkfmUYEMqXiyk=s426-k-no;
https://lh5.googleusercontent.com/p/AF1QipNbmpzHXCc232323n9somxlL6bBGCnD0BpIvAxr=w203-h114-k-no;
https://lh5.googleusercontent.com/p/AF1QipOFL2vLmQ5oKgJNpfcY2_APcAr1YZRNBrUGpVFO=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNR5E50NuHSFOoYxe0y3wLGjosOkfmUYEMqXiyk=w203-h201-k-no;
https://lh5.googleusercontent.com/p/AF1QipOlpboU3c8tqtll_aN_Db9E0AtUQkQrtUI8JTpf=w203-h152-k-no;
https://lh5.googleusercontent.com/p/AF1QipNf0isQJwSB5GxjyKFdsDe5od-yyOVWPYUAGQTJ=w203-h152-k-no;
",,
,,,,,,,,,,,,,,,,,,,,,,,
